composer,era
Nicolas Grenon,renaissance
Pierre Fontaine,renaissance
Jacobus Vide,renaissance
Floruit,renaissance
Guillaume Legrant,renaissance
John Dunstaple,renaissance
Guillaume Dufay,renaissance
Johannes Brassart,renaissance
Johannes Legrant,renaissance
Gilles Binchois,renaissance
Hugo de Lantins,renaissance
Arnold de Lantins,renaissance
Reginaldus Libert,renaissance
Jean Cousin,renaissance
Gilles Joye,renaissance
Guillaume le Rouge,renaissance
Robert Morton,renaissance
Antoine Busnois,renaissance
Adrien Basin,renaissance
Hayne van Ghizeghem,renaissance
Jean-Baptiste Besard,renaissance
Thomas Fabri,renaissance
Johannes de Limburgia,renaissance
Clement Liebert,renaissance
Johannes Ockeghem,renaissance
Johannes Regis,renaissance
Johannes Tinctoris,renaissance
Johannes Martini,renaissance
Petrus de Domarto,renaissance
Alexander Agricola,renaissance
Johannes de Stokem,renaissance
Gaspar van Weerbeke,renaissance
Johannes Pullois,renaissance
Josquin des Prez,renaissance
Heinrich Isaac,renaissance
Matthaeus Pipelare,renaissance
Abertijne Malcourt,renaissance
Enlarge,renaissance
Jacob Obrecht,renaissance
Jean Japart,renaissance
Jacobus Barbireau,renaissance
Jacob Obrecht,renaissance
Nycasius de Clibano,renaissance
Jheronimus de Clibano,renaissance
Pierre de La Rue,renaissance
Marbrianus de Orto,renaissance
Johannes Prioris,renaissance
Antonius Divitis,renaissance
Johannes Ghiselin,renaissance
Nicolas Champion,renaissance
Jacob Godebrye,renaissance
Noel Bauldeweyn,renaissance
Jean Richafort,renaissance
Benedictus Appenzeller,renaissance
Mary of Hungary,renaissance
Pierre Moulu,renaissance
Pierre Passereau,renaissance
Adrian Willaert,renaissance
Lupus Hellinck,renaissance
Nicolas Gombert,renaissance
Charles V Holy Roman Emperor,renaissance
Adrianus Petit Coclico,renaissance
Philip van Wilder,renaissance
Arnold von Bruck,renaissance
Protestant Reformation,renaissance
Jacques Buus,renaissance
Ricercar,renaissance
Cornelius Canis,renaissance
Orlande de Lassus,renaissance
Jan Pieterszoon Sweelinck,renaissance
Gilles Reingot,renaissance
Thomas Crecquillon,renaissance
Charles V Holy Roman Emperor,renaissance
Jacquet de Berchem,renaissance
Jean de Latre,renaissance
Johannes Lupi,renaissance
Jacques Arcadelt,renaissance
Tielman Susato,renaissance
Jheronimus Vinders,renaissance
Jean Courtois,renaissance
Cambrai,renaissance
Jacob Clemens non Papa,renaissance
Ghiselin Danckerts,renaissance
Pierre de Manchicourt,renaissance
Jan Nasco,renaissance
Dominique Phinot,renaissance
Nicolas Payen,renaissance
Hubert Naich,renaissance
Cypriano de Rore,renaissance
Hubert Waelrant,renaissance
Perissone Cambio,renaissance
Severin Cornet,renaissance
de Séverin Cornet,renaissance
Philippe de Monte,renaissance
Simon Moreau,renaissance
Jean de Bonmarché,renaissance
Jacobus Vaet,renaissance
Cornelis Boscoop,renaissance
Jacobus de Kerle,renaissance
Orlande de Lassus,renaissance
Giaches de Wert,renaissance
Johannes Matelart,renaissance
Jhan Gero,renaissance
Jacob Regnart,renaissance
Andreas Pevernage,renaissance
Antonino Barges,renaissance
George de La Hèle,renaissance
Balduin Hoyoul,renaissance
Giovanni de Macque,renaissance
Emmanuel Adriaenssen,renaissance
Rinaldo del Mel,renaissance
Carolus Luython,renaissance
Philipp Schöndorff,renaissance
Philippe Rogier,renaissance
Jan Pieterszoon Sweelinck,renaissance
Cornelis Verdonck,renaissance
Joachim van den Hove,renaissance
Peeter Cornet,renaissance
Géry de Ghersem,renaissance
Claudio Pari,renaissance
Duchy of Burgundy,renaissance
Richard Loqueville,renaissance
Baude Cordier,renaissance
Beltrame Feragut,renaissance
Johannes Cesaris,renaissance
Estienne Grossin,renaissance
Johannes Fedé,renaissance
Biquardus,renaissance
Eloy d'Amerval,renaissance
Firminus Caron,renaissance
Guillaume Faugues,renaissance
Jehan Fresneau,renaissance
Philippe Basiron,renaissance
Loyset Compère,renaissance
Gilles Mureau,renaissance
Claude Le Jeune,renaissance
Jean Mouton,renaissance
Antoine Brumel,renaissance
Colinet de Lannoy,renaissance
Pietrequin Bonnel,renaissance
Carpentras,renaissance
Antoine de Févin,renaissance
Robert de Févin,renaissance
Pierrequin de Thérache,renaissance
Jean Braconnier,renaissance
Philippe Verdelot,renaissance
Ninot le Petit,renaissance
Antoine de Longueval,renaissance
Nicolle des Celliers de Hesdin,renaissance
Jean l'Héritier,renaissance
Jacquet of Mantua,renaissance
Clément Janequin,renaissance
Sandrin,renaissance
Claudin de Sermisy,renaissance
Pierre Attaingnant,renaissance
Pierre Vermont,renaissance
Jean Conseil,renaissance
Robert de Févin,renaissance
Antoine de Févin,renaissance
Mathieu Gascongne,renaissance
Jean Maillard,renaissance
Guillaume Costeley,renaissance
Acourt,renaissance
Garnier,renaissance
Firmin Lebel,renaissance
Hilaire Penet,renaissance
Pierre Certon,renaissance
Louis Bourgeois,renaissance
Jacques Du Pont,renaissance
Guillaume Le Heurteur,renaissance
Jean Maillard,renaissance
Guillaume Morlaye,renaissance
Jean Guyot de Châtelet,renaissance
Claude Goudimel,renaissance
Thoinot Arbeau,renaissance
Pierre Cadéac,renaissance
Pierre Clereau,renaissance
Godard,renaissance
Cathédrale Saint-Pierre de Beauvais,renaissance
Didier Lupi Second,renaissance
Lambert Courtois,renaissance
Adrian Le Roy,renaissance
Claude Gervaise,renaissance
Simon Boyleau,renaissance
Antoine de Bertrand,renaissance
Guillaume Boni,renaissance
Guillaume Costeley,renaissance
Nicolas de La Grotte,renaissance
Claude Le Jeune,renaissance
Jehan Chardavoine,renaissance
Paschal de l'Estocart,renaissance
Nicolas Millot,renaissance
Joachim Thibault de Courville,renaissance
Eustache Du Caurroy,renaissance
Charles Tessier,renaissance
Fabrice Caietain,renaissance
Jacques Champion,renaissance
Jacques Mauduit,renaissance
Jean Titelouze,renaissance
Julien Perrichon,renaissance
Nicolas Formé,renaissance
René Mésangeau,renaissance
Pierre Guédron,renaissance
Robert Ballard,renaissance
Ennemond Gaultier,renaissance
Antoine Boësset,renaissance
Guillaume Bouzignac,renaissance
Johann Andreas Herbst,renaissance
Marin Marsenne,renaissance
Jacques Gaultier,renaissance
Charles Racquet,renaissance
Pierre Gaultier,renaissance
Étienne Moulinié,renaissance
Mlle Bocquet,renaissance
Zacara da Teramo,renaissance
Paolo da Firenze,renaissance
Giovanni Mazzuoli,renaissance
Piero Mazzuoli,renaissance
Matteo da Perugia,renaissance
Antonio da Cividale,renaissance
Antonello da Caserta,renaissance
Nicolaus Ricii de Nucella Campli,renaissance
Ugolino da Forlì,renaissance
Antonius Romanus,renaissance
Bartolomeo da Bologna,renaissance
Grazioso da Padova,renaissance
Nicolaus Zacharie,renaissance
Johannes de Quadris,renaissance
Guglielmo Ebreo da Pesaro,renaissance
Antonio Cornazzano,renaissance
Antonius Janue,renaissance
Franchinus Gaffurius,renaissance
Giacomo Fogliano,renaissance
Marchetto Cara,renaissance
Bartolomeo Tromboncino,renaissance
Francesco Canova da Milano,renaissance
Bartolomeo degli Organi,renaissance
Vincenzo Capirola,renaissance
Filippo de Lurano,renaissance
Francesco Spinacino,renaissance
Antonio Caprioli,renaissance
Joan Ambrosio Dalza,renaissance
Francesco Patavino,renaissance
it Francesco Patavino,renaissance
Andrea Antico,renaissance
Marco Dall'Aquila,renaissance
Maistre Jhan,renaissance
Gasparo Alberti,renaissance
Bernardo Pisano,renaissance
Sebastiano Festa,renaissance
Marco Antonio Cavazzoni,renaissance
Pietro Paolo Borrono,renaissance
Franciscus Bossinensis,renaissance
Francesco de Layolle,renaissance
Benvenuto Cellini,renaissance
Costanzo Festa,renaissance
Francesco Canova da Milano,renaissance
Mattio Rampollini,renaissance
Albert de Rippe,renaissance
Giovanni Pierluigi da Palestrina,renaissance
Francesco Corteccia,renaissance
Ambrose Lupo,renaissance
Francesco Viola,renaissance
Paolo Aretino,renaissance
Alfonso dalla Viola,renaissance
Antonio Gardano,renaissance
Giovanni Thomaso Cimello,renaissance
Luigi Dentice,renaissance
Vincenzo Ruffo,renaissance
Claudio Veggio,renaissance
Giovanni Contino,renaissance
Luca Marenzio,renaissance
Nicolao Dorati,renaissance
Domenico Ferrabosco,renaissance
Alfred Einstein,renaissance
Alfonso Ferrabosco (I),renaissance
Giovanni Domenico da Nola,renaissance
Giandomenico Martoretta,renaissance
Agostino Agostini,renaissance
Lodovico Agostini,renaissance
Gioseffo Zarlino,renaissance
Francesco Cellavenia,renaissance
Giovanni Paolo Paladini,renaissance
Giulio Fiesco,renaissance
Giovanni Animuccia,renaissance
Vincenzo Galilei,renaissance
Michelagnolo Galilei,renaissance
Galileo Galilei,renaissance
Francesco Portinaro,renaissance
Hoste da Reggio,renaissance
Ippolito Ciera,renaissance
Girolamo Parabosco,renaissance
Girolamo Cavazzoni,renaissance
Giacomo Gorzanis,renaissance
Giovanni Pierluigi da Palestrina,renaissance
Baldassare Donato,renaissance
Carlo Gesualdo,renaissance
Orazio Vecchi,renaissance
Annibale Padovano,renaissance
Costanzo Porta,renaissance
Giovanni Battista Conforti,renaissance
Fabritio Caroso,renaissance
Giorgio Mainerio,renaissance
Gianmatteo Asola,renaissance
Andrea Gabrieli,renaissance
Giovanni Gabrieli,renaissance
Claudio Merulo,renaissance
Francesco Soto de Langa,renaissance
Lodovico Agostini,renaissance
Agostino Agostini,renaissance
Cesare Negri,renaissance
Ippolito Chamaterò,renaissance
Marc'Antonio Ingegneri,renaissance
Rocco Rodio,renaissance
Annibale Stabile,renaissance
Pietro Taglia,renaissance
Antonio Valente,renaissance
Pietro Vinci,renaissance
Annibale Zoilo,renaissance
Stefano Felis,renaissance
Fabrizio Dentice,renaissance
Giovanni Dragoni,renaissance
Filippo Azzaiolo,renaissance
Maddalena Casulana,renaissance
Giovanni Ferretti,renaissance
Giovanni Leonardo Primavera,renaissance
Alessandro Striggio,renaissance
Missa sopra Ecco sì beato giorno,renaissance
Tiburzio Massaino,renaissance
Vincenzo Bellavere,renaissance
Francesco Rovigo,renaissance
Gioseffo Guami,renaissance
Alfonso Ferrabosco (I),renaissance
Giovanni Maria Nanino,renaissance
Giovanni Bernardino Nanino,renaissance
Francesco Guami,renaissance
Gioseffo Guami,renaissance
Ascanio Trombetti,renaissance
Gioseppe Caimo,renaissance
Luzzasco Luzzaschi,renaissance
Francesco Soriano,renaissance
Girolamo Dalla Casa,renaissance
Ippolito Baccusi,renaissance
Emilio de' Cavalieri,renaissance
Cesario Gussago,renaissance
Pomponio Nenna,renaissance
Riccardo Rognoni,renaissance
David Sacerdote,renaissance
Ruggiero Trofeo,renaissance
Orazio Vecchi,renaissance
Girolamo Conversi,renaissance
Jacopo Peri,renaissance
Giulio Caccini,renaissance
Benedetto Pallavicino,renaissance
Girolamo Belli,renaissance
Luca Marenzio,renaissance
Paolo Bellasio,renaissance
Cosimo Bottegari,renaissance
Girolamo Diruta,renaissance
Giovanni Giacomo Gastoldi,renaissance
Giovanni Gabrieli,renaissance
Andrea Gabrieli,renaissance
Gabriele Villani,renaissance
Paolo Quagliati,renaissance
Giovanni Croce,renaissance
Alfonso Fontanelli,renaissance
Giovanni Bassano,renaissance
Scipione Stella,renaissance
Felice Anerio,renaissance
Giovanni Francesco Anerio,renaissance
Giulio Belli,renaissance
Dario Castello,renaissance
Giovanni Bernardino Nanino,renaissance
Giovanni Maria Nanino,renaissance
Lodovico Grossi da Viadana,renaissance
Scipione Dentice,renaissance
Carlo Gesualdo,renaissance
Ruggiero Giovannelli,renaissance
Antonio Il Verso,renaissance
Stefano Rossetto,renaissance
Leone Leoni,renaissance
Jacopo Peri,renaissance
Francesco Usper,renaissance
Francisco de Peraza,renaissance
Giulio Cesare Martinengo,renaissance
Erasmo Marotta,renaissance
Paola Massarenghi,renaissance
Ascanio Mayone,renaissance
Giovanni Pietro Flaccomio,renaissance
Philip III of Spain,renaissance
de:Giovanni Pietro Flaccomio,renaissance
Simone Molinaro,renaissance
Alessandro Piccinini,renaissance
Lucia Quinciani,renaissance
Girolamo Giacobbi,renaissance
Lorenzo Allegri,renaissance
Giovanni Francesco Anerio,renaissance
Felice Anerio,renaissance
Claudio Monteverdi,renaissance
Massimo Troiano,renaissance
Adriano Banchieri,renaissance
Bartolomeo Barbarino,renaissance
Ottavio Vernizzi,renaissance
Orazio Bassani,renaissance
Diomedes Cato,renaissance
Giovanni Paolo Cima,renaissance
Salamone Rossi,renaissance
Claudia Sessa,renaissance
ca:Claudia Sessa,renaissance
Giovanni Battista Fontana,renaissance
Giovanni Picchi,renaissance
Salvatore Sacco,renaissance
Cesarina Ricci,renaissance
Francesco Rasi,renaissance
Ignazio Donati,renaissance
Michelagnolo Galilei,renaissance
Vincenzo Galilei,renaissance
Galileo Galilei,renaissance
Stefano Venturi del Nibbio,renaissance
Giulio Caccini,renaissance
Il rapimento di Cefalo,renaissance
Vittoria Aleotti,renaissance
Giovanni Priuli,renaissance
Giovanni Maria Trabaci,renaissance
Stefano Bernardi,renaissance
Antonio Brunelli,renaissance
Sulpitia Cesis,renaissance
Agostino Agazzari,renaissance
Caterina Assandra,renaissance
Adreana Basile,renaissance
Vincenzo Ugolini,renaissance
Bellerofonte Castaldi,renaissance
Gregorio Allegri,renaissance
Domenico Allegri,renaissance
Severo Bonini,renaissance
Marco da Gagliano,renaissance
Sigismondo d'India,renaissance
Giovanni Valentini,renaissance
Paolo Agostino,renaissance
Girolamo Frescobaldi,renaissance
Antonio Cifra,renaissance
Nicolò Corradini,renaissance
Andrea Falconieri,renaissance
Francesco Rognoni,renaissance
Domenico Allegri,renaissance
Gregorio Allegri,renaissance
Alessandro Grandi,renaissance
Stefano Landi,renaissance
Claudio Saracini,renaissance
Giovanni Battista Grillo,renaissance
Marcantonio Negri,renaissance
Giovanni Battista Riccio,renaissance
Jefimija,renaissance
Nikola the Serb,renaissance
Kir Stefan the Serb,renaissance
Isaiah the Serb,renaissance
Joachim Domestikos Of Serbia,renaissance
Joakeim the Monk,renaissance
Manuel Chrysaphus,renaissance
Raoul of Zhicha,renaissance
Francisco Leontaritis,renaissance
Johannes Cornago,renaissance
Juan de Urrede,renaissance
Diego Ortiz,renaissance
Juan de Triana,renaissance
Francisco de la Torre,renaissance
Juan de Anchieta,renaissance
Juan del Encina,renaissance
Francisco de Peñalosa,renaissance
Andreas De Silva,renaissance
Mateo Flecha,renaissance
Juan Pérez de Gijón,renaissance
Alonso de Mondéjar,renaissance
Pedro de Pastrana,renaissance
Luis de Milán,renaissance
Cristóbal de Morales,renaissance
Luis de Narváez,renaissance
Juan Vásquez,renaissance
Enríquez de Valderrábano,renaissance
Miguel de Fuenllana,renaissance
Bartolomé de Escobedo,renaissance
Juan Bermudo,renaissance
Antonio de Cabezón,renaissance
Alonso Mudarra,renaissance
Diego Ortiz,renaissance
Luis Venegas de Henestrosa,renaissance
Tomás Luis de Victoria,renaissance
Tomás de Santa María,renaissance
Joan Brudieu,renaissance
Rodrigo de Ceballos,renaissance
Francisco Guerrero,renaissance
Leonardo Meldart Fiamengo,renaissance
Juan Navarro(I),renaissance
Mateo Flecha the Younger,renaissance
Hernando Franco,renaissance
Hernando de Cabezón,renaissance
Ginés de Boluda,renaissance
Ginés Pérez de la Parra,renaissance
Tomás Luis de Victoria,renaissance
Bernardo Clavijo del Castillo,renaissance
Vicente Espinel,renaissance
Juan Navarro II,renaissance
Ambrosio Cotes,renaissance
Sebastian Raval,renaissance
Alonso Lobo,renaissance
Juan Esquivel Barahona,renaissance
Sebastián Aguilera de Heredia,renaissance
Joan Baptista Comes,renaissance
Joan Pau Pujol,renaissance
Juan Arañés,renaissance
Teodora Ginés,renaissance
Ludwig Senfl,renaissance
Fridolin Sicher,renaissance
Mogens Pedersøn,renaissance
Mikołaj Radomski,renaissance
Jerzy Liban z Legnicy,renaissance
Mikołaj z Chrzanowa,renaissance
Sebastian z Felsztyna,renaissance
Jan z Lublina,renaissance
Wacław z Szamotuł,renaissance
Cyprian Bazylik,renaissance
Mikołaj Gomółka,renaissance
Krzysztof Borek,renaissance
Marcin Leopolita,renaissance
Jakub Polak,renaissance
Nicolaus Cracoviensis,renaissance
Tomasz Szadek,renaissance
nl:Tomasz Szadek,renaissance
pl:Tomasz Szadek,renaissance
Krzysztof Klabon,renaissance
Marcin Wartecki,renaissance
Wojciech Długoraj,renaissance
Petrus de Drusina,renaissance
Diomedes Cato,renaissance
Andreas Chyliński,renaissance
Adam Jarzębski,renaissance
Adam z Wągrowca,renaissance
Mikołaj Zieleński,renaissance
Kryštof Harant,renaissance
Ondřej Chrysoponus Jevíčský,renaissance
Jan Simonides Montanus,renaissance
Kutná Hora,renaissance
Jan Blahoslav,renaissance
Jiří Rychnovský,renaissance
Simon Bar Jona Madelka,renaissance
Pavel Spongopaeus Jistebnický,renaissance
Jan Trojan Turnovský,renaissance
Pavel Spongopaeus Jistebnický,renaissance
Kryštof Harant,renaissance
Jan Campanus Vodňanský,renaissance
Adam Václav Michna z Otradovic,renaissance
Bálint Bakfark,renaissance
Sebestyén Tinódi Lantos,renaissance
Jacobus Gallus,renaissance
Ivan Lukačić,renaissance
Ghiselin Danckerts,renaissance
Josquin Baston,renaissance
Joachim van den Hove,renaissance
Cornelis Boscoop,renaissance
Nicolas Vallet,renaissance
Jacob van Eyck,renaissance
Cornelis Thymenszoon Padbrué,renaissance
Constantijn Huygens,renaissance
Andreas Düben,renaissance
Oswald von Wolkenstein,renaissance
Hugo von Montfort,renaissance
Oswald von Wolkenstein,renaissance
Hans Leo Hassler,renaissance
Conrad Paumann,renaissance
Heinrich Finck,renaissance
Adam von Fulda,renaissance
Hans Judenkünig,renaissance
Arnolt Schlick,renaissance
Paul Hofhaimer,renaissance
Sebastian Virdung,renaissance
Pierre Alamire,renaissance
Thomas Stoltzer,renaissance
Hans Buchner,renaissance
Martin Luther,renaissance
Hans Kotter,renaissance
Martin Agricola,renaissance
Georg Rhau,renaissance
Arnold von Bruck,renaissance
Benedictus Ducis,renaissance
Leonhard Kleber,renaissance
Lorenz Lemlin,renaissance
Leonhard Päminger,renaissance
Johann Walter,renaissance
Hans Gerle,renaissance
Wolfgang Schmeltzl,renaissance
Michael Praetorius,renaissance
Hans Neusiedler,renaissance
Georg Forster,renaissance
Caspar Othmayr,renaissance
Jobst von Brandt,renaissance
Sigmund Hemmel,renaissance
Hermann Finck,renaissance
Elias Ammerbach,renaissance
Matthäus Waissel,renaissance
de Matthäus Waissel,renaissance
Thomas Mancinus,renaissance
Johannes Eccard,renaissance
Leonhard Lechner,renaissance
Johannes Nucius,renaissance
Hieronymus Praetorius,renaissance
August Nörmiger,renaissance
Elias Mertel,renaissance
Andreas Raselius,renaissance
Hans Leo Hassler,renaissance
Gregor Aichinger,renaissance
Christoph Demantius,renaissance
Christian Erbach,renaissance
Paul Peuerl,renaissance
Michael Praetorius,renaissance
Maurice Landgrave of Hesse-Kassel,renaissance
Erasmus Widmann,renaissance
Andreas Hakenberger,renaissance
Johann Groh,renaissance
de Johann Groh,renaissance
Melchior Franck,renaissance
Johannes Hieronymus Kapsberger,renaissance
Johann Stobäus,renaissance
Johannes Jeep,renaissance
Johann Staden,renaissance
Johann Daniel Mylius,renaissance
Michael Altenburg,renaissance
Daniel Friderici,renaissance
Johann Grabbe,renaissance
Peter Hasse,renaissance
Heinrich Schütz,renaissance
Jacob Praetorius,renaissance
Johann Schein,renaissance
Paul Siefert,renaissance
Samuel Scheidt,renaissance
Johann Schop,renaissance
Johannes Thesselius,renaissance
Melchior Schildt,renaissance
Gottfried Scheidt,renaissance
Johann Ulrich Steigleder,renaissance
Heinrich Scheidemann,renaissance
Johann Crüger,renaissance
Thomas Selle,renaissance
Delphin Strungk,renaissance
John IV of Portugal,renaissance
Pedro de Escobar,renaissance
Heliodoro de Paiva,renaissance
António Carreira,renaissance
Manuel da Fonseca,renaissance
Vicente Lusitano,renaissance
Manuel Mendes,renaissance
Pedro de Cristo,renaissance
Manuel Rodrigues Coelho,renaissance
Duarte Lobo,renaissance
Gaspar Fernandes,renaissance
Manuel Cardoso,renaissance
Filipe de Magalhães,renaissance
Estêvão de Brito,renaissance
Manuel Machado,renaissance
Manuel Correia,renaissance
John IV of Portugal,renaissance
Europe,renaissance
English Renaissance,renaissance
Baroque,renaissance
England,renaissance
Burgundian School,renaissance
Dissolution of the Monasteries,renaissance
Henry VIII of England,renaissance
Tudor period,renaissance
Renaissance,renaissance
English Madrigal School,renaissance
Thomas Tallis,renaissance
John Dowland,renaissance
Orlando Gibbons,renaissance
William Byrd,renaissance
Forest,renaissance
Dean of Wells,renaissance
Credo,renaissance
Antiphon,renaissance
Old Hall Manuscript,renaissance
Pycard,renaissance
Old Hall Manuscript,renaissance
Leonel Power,renaissance
J. Cooke,renaissance
Old Hall Manuscript,renaissance
Damett,renaissance
Old Hall Manuscript,renaissance
Robert Chirbury,renaissance
Agnus Dei,renaissance
Roy Henry,renaissance
Henry V of England,renaissance
Byttering,renaissance
N. Sturgeon,renaissance
Richard Smert,renaissance
Ritson Manuscript,renaissance
John Plummer,renaissance
Henry Abyngdon,renaissance
John Trouluffe,renaissance
Ritson Manuscript,renaissance
Richard Mowere,renaissance
Ritson Manuscript,renaissance
Walter Frye,renaissance
William Horwood,renaissance
Eton Choirbook,renaissance
John Hothby,renaissance
William Hawte,renaissance
Richard Hygons,renaissance
Gilbert Banester,renaissance
John Tuder,renaissance
Pepys Manuscript,renaissance
Genre of the Lamentations,renaissance
Walter Lambe,renaissance
Eton Choirbook,renaissance
Henry Prentyce,renaissance
Caius Choirbook,renaissance
Hugh Kellyk,renaissance
Eton Choirbook,renaissance
Edmund Turges,renaissance
Eton Choirbook,renaissance
John Nesbett,renaissance
Robert Wilkinson,renaissance
John Browne,renaissance
Eton Choirbook,renaissance
